                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.434,                 3.0735,                 1.3467,                0.00311,                  0.875,                0.44055,                 0.2355,                  1.206,                 3.2757,                 1.2511,               0.070484,              0.0032796,              0.0032796
                      1,                 1.4035,                 1.6542,                 1.2292,                0.75083,                0.59375,                0.72991,                 0.3865,                 1.5773,                 2.0351,                 1.3379,               0.040451,              0.0065802,              0.0065802
                      2,                 1.4875,                 1.5278,                 1.2327,                0.68767,                0.71875,                0.73655,                0.40935,                 1.5618,                 1.5995,                  1.455,               0.010385,              0.0098478,              0.0098478
                      3,                 1.4664,                 1.5341,                 1.2222,                0.49914,                0.51562,                0.42292,                0.21062,                  1.606,                 2.3002,                 1.3619,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.5128,                  1.421,                 1.2315,                0.48125,                  0.625,                0.53772,                0.25387,                 1.7248,                 1.7613,                 1.6425,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4849,                 1.4118,                 1.2341,                0.67125,                0.48438,                0.54103,                0.22563,                 1.9631,                 1.8376,                 1.6528,               0.009802,               0.009802,               0.009802
                      6,                 1.4806,                 1.3035,                 1.2539,                 0.5693,                0.73438,                0.72346,                0.35641,                 1.7029,                  1.427,                 1.5068,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4876,                  1.289,                 1.2637,                0.72747,                0.66737,                0.72308,                0.37549,                 1.6004,                 1.3576,                   1.53,               0.009703,               0.009703,               0.009703
                      8,                 1.4777,                 1.2442,                   1.24,                0.71675,                   0.75,                0.74818,                0.38315,                 1.5865,                 1.2147,                 1.4249,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4735,                 1.2368,                 1.2438,                0.84271,                 0.6875,                0.75386,                0.37572,                 1.6638,                 1.3001,                  1.551,               0.009604,               0.009604,               0.009604
                     10,                 1.4592,                 1.2185,                  1.265,                0.68852,                0.72537,                0.74504,                0.40889,                 1.5553,                 1.3172,                 1.4598,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4358,                 1.1317,                 1.2365,                0.78377,                0.79293,                0.81589,                0.44572,                 1.5331,                 1.1164,                 1.3913,               0.009505,               0.009505,               0.009505
                     12,                 1.4007,                  1.124,                 1.2148,                0.84495,                0.71875,                0.81787,                0.41515,                 1.4743,                 1.1955,                 1.4125,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.3852,                 1.0783,                  1.181,                0.68568,                0.65625,                0.70006,                0.37739,                 1.5496,                  1.312,                 1.3733,               0.009406,               0.009406,               0.009406
                     14,                 1.3795,                 1.0939,                 1.2204,                0.82366,                0.65625,                0.77054,                 0.4241,                 1.5137,                 1.2295,                 1.4235,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.3783,                 1.0684,                 1.2178,                0.68345,                0.80969,                 0.8144,                0.41595,                 1.6535,                 1.1016,                 1.4858,               0.009307,               0.009307,               0.009307
                     16,                 1.3908,                 1.0745,                 1.2006,                0.80731,                0.79688,                0.86395,                0.48605,                 1.4685,                 1.0206,                  1.339,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.3429,                 1.0014,                 1.1923,                0.77767,                0.82812,                0.82107,                0.48934,                 1.4549,                 1.0533,                 1.3239,               0.009208,               0.009208,               0.009208
                     18,                 1.3715,                 1.0282,                 1.1909,                0.84228,                 0.8125,                0.87896,                0.49038,                 1.5694,                 1.0003,                 1.4614,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3822,                0.99135,                 1.2048,                0.79928,                0.87111,                0.88908,                0.50521,                 1.5079,                0.93992,                 1.3903,               0.009109,               0.009109,               0.009109
